Country Name,Country Code,Capitol City,Population,GDP,Happiness Rank
South Korea,KOR,Seoul,51709098,2.24E+12,55
Hong Kong of China,HKG,Hong Kong,7451000,3.63E+11,71
Azerbaijan,AZE,Baku,9942334,46939529412,85
Thailand,THA,Bangkok,69428524,5.05E+11,32
Cyprus,CYP,Nicosia,1189265,24469841832,65
Saudi Arabia,SAU,Riyadh,33699947,7.82E+11,37
Malawi,MWI,Lilongwe,18143315,7064971176,136
Nigeria,NGA,Abuja,195874740,3.97E+11,95
Rwanda,RWA,Kigali,12301939,9509003197,151
Angola,AGO,Luanda,30809762,1.06E+11,140
Ivory Coast,CIV,Yamoussoukro,23740424,1.06E+11,128
Sweden,SWE,Stockholm,10183175,5.51E+11,9
Zambia,ZMB,Lusaka,17351822,26720073436,116
Benin,BEN,Porto-Novo,11485048,10358985583,143
Sri Lanka,LKA,Colombo,21670000,88900770858,120
Lebanon,LBN,Beirut,6848925,56639155556,88
Kyrgyz Republic,KGZ,Bishkek,6315800,8092836609,98
Iceland,ISL,Reykjavik,353574,25878475760,3
Gabon,GAB,Libreville,2119275,17017401832,118
Bangladesh,BGD,Dhaka,161356039,2.74E+11,110
Denmark,DNK,Copenhagen,5797446,3.51E+11,2
Kuwait,KWT,Kuwait City,4137309,1.42E+11,39
United Kingdom,GBR,London,66488991,2.83E+12,19
Chad,TCD,N'Djamena,15477751,11302544205,137
Honduras,HND,Tegucigalpa,9587522,23803230473,91
Israel,ISR,Jerusalem,8883800,3.70E+11,11
Qatar,QAT,Doha,2781677,1.92E+11,35
Egypt,EGY,Cairo,98423595,2.51E+11,104
Austria,AUT,Vienna,8847037,4.56E+11,13
Sierra Leone,SLE,Freetown,7650154,3999945202,106
Uganda,UGA,Kampala,42723139,27476945526,133
Macedonia,MKD,Skopje,2103721,33822000000,92
Mauritius,MUS,Port Louis,1265303,14220348673,64
Morocco,MAR,Rabat,36029138,1.18E+11,84
Vietnam,VNM,Hanoi,95540395,2.45E+11,94
Venezuela,VEN,Caracas,28870195,76458000000,82
Zimbabwe,ZWE,Harare,14439018,31000519447,138
Spain,ESP,Madrid,46723749,1.43E+12,34
Czech Republic,CZE,Prague,10625695,2.44E+11,23
Cambodia,KHM,Phnom Penh,16249798,24571753583,129
Bolivia,BOL,Sucre,11353142,40287647757,58
Russian Federation,RUS,Moscow,144478050,1.66E+12,49
Costa Rica,CRI,San Jose,4999441,60126014829,12
Singapore,SGP,Singapur,5638676,3.64E+11,26
Montenegro,MNE,Podgorica,622345,5452173041,83
Somalia,SOM,Mogadishu,15008154,7484000000,93
Republic of the Congo,COG,Brazzaville,5244363,11263682694,126
Belgium,BEL,Brussels,11422068,5.32E+11,17
Peru,PER,Lima,31989256,2.22E+11,63
Georgia,GEO,Tbilisi,3731000,16209818081,125
Slovenia,SVN,Ljubljana,2067372,54235484383,62
Madagascar,MDG,Antananarivo,26262368,12100459087,144
